,graph,start_index,starting_neighbors,starting_betweenness,transitivity,components,initial_positive,average_path,iterations,threshold,number_convinced
284,BA,21429,1,0.0,0.0,1,1000,13.056748903035343,5,20,974
285,BA,21429,1,0.0,0.0,1,5000,13.056748903035343,5,20,17688
286,BA,21429,1,0.0,0.0,1,10000,13.056748903035343,5,20,19272
287,BA,21429,1,0.0,0.0,1,15000,13.056748903035343,5,20,20315
288,BA,4478,1,0.0,0.0,1,1000,13.056748903035343,5,5,976
289,BA,4478,1,0.0,0.0,1,5000,13.056748903035343,5,5,19930
290,BA,4478,1,0.0,0.0,1,10000,13.056748903035343,5,5,21012
291,BA,4478,1,0.0,0.0,1,15000,13.056748903035343,5,5,21812
292,BA,4478,1,0.0,0.0,1,1000,13.056748903035343,5,10,981
293,BA,4478,1,0.0,0.0,1,5000,13.056748903035343,5,10,18899
294,BA,4478,1,0.0,0.0,1,10000,13.056748903035343,5,10,20049
295,BA,4478,1,0.0,0.0,1,15000,13.056748903035343,5,10,21008
296,BA,4478,1,0.0,0.0,1,1000,13.056748903035343,5,20,16273
297,BA,4478,1,0.0,0.0,1,5000,13.056748903035343,5,20,17676
298,BA,4478,1,0.0,0.0,1,10000,13.056748903035343,5,20,19304
299,BA,4478,1,0.0,0.0,1,15000,13.056748903035343,5,20,20320
300,BA,21892,1,0.0,0.0,1,1000,13.056748903035343,5,5,18692
301,BA,21892,1,0.0,0.0,1,5000,13.056748903035343,5,5,19985
302,BA,21892,1,0.0,0.0,1,10000,13.056748903035343,5,5,20913
303,BA,21892,1,0.0,0.0,1,15000,13.056748903035343,5,5,21886
304,BA,21892,1,0.0,0.0,1,1000,13.056748903035343,5,10,976
305,BA,21892,1,0.0,0.0,1,5000,13.056748903035343,5,10,18819
306,BA,21892,1,0.0,0.0,1,10000,13.056748903035343,5,10,20129
307,BA,21892,1,0.0,0.0,1,15000,13.056748903035343,5,10,20996
308,BA,21892,1,0.0,0.0,1,1000,13.056748903035343,5,20,978
